artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,key_A,key_A#,key_B,key_C#,key_D,key_D#,key_E,key_F,key_F#,key_G,key_G#,mode_Major,mode_Minor
"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,36,2665343922,170,59,48,76,4,0,10,5,False,False,False,True,False,False,False,False,False,False,False,True,False
"Marshmello, Manuel Turizo",2,2023,3,3,2114,44,223633238,124,78,70,68,3,1,11,4,False,False,False,False,False,False,False,False,False,False,True,False,True
Lewis Capaldi,1,2018,11,8,17836,53,2887241814,110,50,45,41,75,0,11,3,False,False,False,True,False,False,False,False,False,False,False,True,False
"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,43,1440757818,92,91,43,71,9,0,9,8,False,False,False,True,False,False,False,False,False,False,False,False,True
Jain,1,2015,6,22,6060,53,165484133,116,82,40,66,39,51,25,7,False,False,False,False,True,False,False,False,False,False,False,True,False
"Ayparia, unxbected",2,2012,6,20,641,50,58054811,129,63,84,82,70,8,9,7,True,False,False,False,False,False,False,False,False,False,False,True,False
Luke Combs,1,2023,3,24,1446,12,157058870,98,71,67,60,19,0,12,3,False,False,False,False,False,False,False,False,False,False,True,True,False
Doechii,1,2023,3,17,804,25,95131998,172,74,76,76,6,0,10,9,False,False,False,True,False,False,False,False,False,False,False,False,True
"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38,250305248,150,68,14,76,4,0,10,4,False,False,False,False,True,False,False,False,False,False,False,True,False
Taylor Swift,1,2017,11,8,4875,23,685032533,136,62,19,53,11,0,6,4,True,False,False,False,False,False,False,False,False,False,False,False,True
Jung Kook,1,2020,6,5,31,39,38411956,88,53,34,47,9,0,83,4,False,False,False,True,False,False,False,False,False,False,False,False,True
"J. Cole, Lil Durk",2,2023,5,12,2175,23,144565150,143,83,69,44,15,0,10,33,False,False,False,False,False,True,False,False,False,False,False,True,False
Lana Del Rey,1,2023,3,17,2000,46,127567540,100,49,17,35,71,9,11,3,False,False,False,False,False,False,False,False,True,False,False,False,True
SZA,1,2022,12,9,2839,25,399686758,143,56,39,55,14,0,11,13,False,False,False,False,False,False,False,True,False,False,False,True,False
Lana Del Rey,1,2011,1,1,20333,52,983637508,112,56,24,66,7,0,12,3,False,False,False,True,False,False,False,False,False,False,False,False,True
BTS,1,2023,6,9,674,47,118482347,93,62,57,59,3,0,38,3,False,False,False,False,False,False,False,False,False,True,False,True,False
Taylor Swift,1,2012,1,1,8448,23,882831184,206,43,50,55,50,0,15,10,False,False,False,False,False,False,False,False,False,True,False,True,False
